api,hsm_capacity,num_signatures,kmip_batch_count,time,threaded
grpc,5000,1000,,0.98186366900336,False
kmip,5000,1000,100,2.4748422279953957,False
kmip,10000,1000,10,2.39098471601028,False
kmip,1000,1000,100,3.1726003689982463,False
grpc,1000,1000,,1.9351806150225457,False
kmip,10000,1000,100,2.419154670991702,False
kmip,100,1000,100,12.25359903901699,False
kmip,20000,1000,10,2.4278163590061013,False
rest,1000,1000,,9.477961014024913,False
kmip,20000,1000,100,2.3988859899982344,False
rest,5000,1000,,8.254353363998234,False
grpc,10000,1000,,0.8209669339994434,False
kmip,1000,1000,10,3.2496543529850896,False
grpc,20000,1000,,0.8771721980010625,False
kmip,1000,1000,1,62.50889222600381,False
kmip,5000,1000,10,2.5380397610133514,False
grpc,100,1000,,11.020454989979044,False
kmip,100,1000,10,12.630236528988462,False
rest,10000,1000,,8.728295719978632,False
kmip,10000,1000,1,62.390030595997814,False
rest,100,1000,,18.266863461001776,False
rest,20000,1000,,8.665713334019529,False
kmip,20000,1000,1,62.47955848899437,False
kmip,100,1000,1,57.68834734099801,False
kmip,5000,1000,1,62.273622330016224,False
rest,10000,1000,,8.027604312985204,False
grpc,20000,1000,,0.8378666969947517,False
rest,100,1000,,18.773946799017722,False
rest,1000,1000,,9.736060922004981,False
kmip,5000,1000,100,2.448844271013513,False
kmip,20000,1000,1,62.385440457990626,False
grpc,10000,1000,,0.9411273789883126,False
kmip,10000,1000,10,2.597528329002671,False
kmip,100,1000,10,12.386187523021363,False
grpc,1000,1000,,1.8719201940111816,False
kmip,100,1000,1,57.66242534501362,False
rest,20000,1000,,7.855986504000612,False
kmip,5000,1000,10,2.461031222017482,False
kmip,10000,1000,100,2.2666258520039264,False
kmip,1000,1000,10,3.3272275289928075,False
grpc,5000,1000,,1.0244562010047957,False
kmip,20000,1000,100,2.0709139420068823,False
kmip,20000,1000,10,2.3123068710265215,False
kmip,1000,1000,100,3.2884546290151775,False
kmip,5000,1000,1,62.20743593398947,False
rest,5000,1000,,8.244639039010508,False
kmip,1000,1000,1,62.02455322199967,False
kmip,10000,1000,1,61.13223553498392,False
grpc,100,1000,,11.030947605991969,False
kmip,100,1000,100,12.234738154016668,False
grpc,10000,1000,,0.9151444380113389,False
kmip,10000,1000,10,2.43602702501812,False
grpc,1000,1000,,1.9050158760219347,False
kmip,20000,1000,1,61.37996576199657,False
rest,100,1000,,18.618575929984218,False
kmip,5000,1000,100,2.4259251990006305,False
kmip,100,1000,1,55.83976743000676,False
kmip,100,1000,10,13.053021450003143,False
rest,1000,1000,,12.883550233993446,False
kmip,20000,1000,10,3.249980730994139,False
rest,20000,1000,,12.530037629010621,False
kmip,1000,1000,100,3.248074456991162,False
rest,10000,1000,,8.738960937975207,False
kmip,10000,1000,1,62.730813477013726,False
grpc,100,1000,,11.00208457300323,False
kmip,20000,1000,100,2.9536095969961025,False
kmip,1000,1000,10,4.529726906010183,False
kmip,100,1000,100,13.0033231540001,False
kmip,5000,1000,10,4.3766762480081525,False
rest,5000,1000,,11.403483785979915,False
kmip,1000,1000,1,61.95763061498292,False
kmip,5000,1000,1,61.23692845800542,False
grpc,20000,1000,,0.7017721529991832,False
kmip,10000,1000,100,2.3233406350191217,False
grpc,5000,1000,,1.02273919901927,False
kmip,5000,1000,100,2.3676527779898606,False
kmip,1000,1000,1,60.842448274983326,False
kmip,10000,1000,100,2.363387468009023,False
kmip,10000,1000,1,62.615754864993505,False
kmip,5000,1000,1,62.79983020701911,False
kmip,100,1000,1,58.14156534199719,False
kmip,1000,1000,100,3.225848974980181,False
grpc,100,1000,,10.98124069700134,False
rest,1000,1000,,9.414245933992788,False
kmip,5000,1000,10,2.4396850100019947,False
kmip,20000,1000,10,2.3065707219939213,False
kmip,20000,1000,100,2.362211614003172,False
kmip,20000,1000,1,62.82874481898034,False
kmip,10000,1000,10,2.295759945001919,False
grpc,20000,1000,,0.8065212020010222,False
kmip,1000,1000,10,3.258384580985876,False
grpc,1000,1000,,1.9139419739949517,False
rest,10000,1000,,7.95540085399989,False
rest,20000,1000,,8.143617216002895,False
grpc,10000,1000,,0.8532905699976254,False
grpc,5000,1000,,0.9846972699742764,False
rest,5000,1000,,8.1608500139846,False
rest,100,1000,,19.695843940018676,False
kmip,100,1000,100,12.239329272997566,False
kmip,100,1000,10,12.635089418996358,False
rest,10000,1000,,8.855173060990637,False
kmip,1000,1000,1,61.77226436100318,False
kmip,100,1000,1,56.52693442697637,False
rest,5000,1000,,8.607356558000902,False
grpc,20000,1000,,0.7421401119790971,False
rest,1000,1000,,9.631164951017126,False
kmip,5000,1000,100,2.4917591539851855,False
kmip,5000,1000,10,2.5046784009900875,False
grpc,1000,1000,,1.8877292599936482,False
grpc,5000,1000,,0.9796718840079848,False
kmip,10000,1000,100,2.4637225870101247,False
rest,20000,1000,,7.857019649003632,False
kmip,20000,1000,100,2.457052404002752,False
kmip,100,1000,10,12.66121021498111,False
kmip,100,1000,100,12.302515494986437,False
kmip,1000,1000,100,3.0029791010019835,False
kmip,1000,1000,10,3.303964745020494,False
kmip,10000,1000,10,2.439845618006075,False
rest,100,1000,,19.492530333984178,False
kmip,5000,1000,1,62.26260504798847,False
kmip,20000,1000,10,2.372401615983108,False
kmip,10000,1000,1,62.842056030000094,False
grpc,10000,1000,,0.8052783110179007,False
grpc,100,1000,,11.051436554000247,False
kmip,20000,1000,1,62.8750061430037,False
kmip,1000,1000,1,62.959825869009364,False
rest,5000,1000,,8.052732899988769,False
kmip,5000,1000,10,2.513539223000407,False
kmip,10000,1000,100,2.369125312019605,False
grpc,10000,1000,,0.9128241009893827,False
grpc,100,1000,,11.080622318026144,False
rest,100,1000,,19.565685125999153,False
kmip,10000,1000,1,63.05850097499206,False
kmip,1000,1000,100,3.277120732993353,False
kmip,100,1000,1,58.81217199700768,False
grpc,5000,1000,,1.10153749701567,False
kmip,10000,1000,10,2.5113085379998665,False
rest,10000,1000,,8.1473767629941,False
kmip,20000,1000,1,62.79682240798138,False
kmip,1000,1000,10,3.336319164984161,False
kmip,20000,1000,10,2.3846256469842046,False
kmip,100,1000,100,12.253555392002454,False
grpc,20000,1000,,0.791150001983624,False
grpc,1000,1000,,1.9447310469986405,False
kmip,5000,1000,1,63.180311447998974,False
kmip,5000,1000,100,2.4598852549970616,False
kmip,100,1000,10,12.409137237002142,False
kmip,20000,1000,100,2.2526940789830405,False
rest,20000,1000,,8.400868461001664,False
rest,1000,1000,,10.018044421012746,False
kmip,10000,1000,1,62.59521691399277,False
grpc,1000,1000,,1.8944562899996527,False
rest,10000,1000,,8.090557534014806,False
kmip,1000,1000,1,62.68425624497468,False
rest,5000,1000,,8.544378998019965,False
kmip,10000,1000,10,2.321703814988723,False
kmip,1000,1000,100,3.158356375992298,False
kmip,20000,1000,10,2.335394167981576,False
grpc,10000,1000,,1.0100922109850217,False
grpc,5000,1000,,1.0025836320128292,False
kmip,5000,1000,10,2.4460240570188034,False
kmip,100,1000,10,12.408191198017448,False
kmip,5000,1000,100,2.4082756979914848,False
kmip,100,1000,1,57.73225526197348,False
kmip,10000,1000,100,2.3242243829881772,False
rest,100,1000,,18.55912633999833,False
kmip,1000,1000,10,3.3098158620123286,False
rest,20000,1000,,8.821001638978487,False
kmip,20000,1000,1,63.13933413801715,False
rest,1000,1000,,9.126328917016508,False
kmip,5000,1000,1,62.77654053000151,False
grpc,20000,1000,,0.8238813490024768,False
kmip,20000,1000,100,2.2250428939878475,False
kmip,100,1000,100,12.183945814991603,False
grpc,100,1000,,11.12646371399751,False
grpc,20000,1000,,0.8130753579898737,False
kmip,1000,1000,100,3.2939352829998825,False
kmip,10000,1000,1,62.83962345999316,False
grpc,10000,1000,,0.8276590390014462,False
kmip,5000,1000,100,2.5602003459935077,False
grpc,100,1000,,11.03040780700394,False
kmip,20000,1000,10,2.474597508989973,False
kmip,20000,1000,100,2.3445296269783285,False
grpc,1000,1000,,2.0232521489961073,False
rest,10000,1000,,7.860755155998049,False
kmip,1000,1000,10,3.3151518999948166,False
rest,20000,1000,,8.579959267983213,False
kmip,5000,1000,10,2.4789758670085575,False
rest,1000,1000,,9.442680153006222,False
kmip,10000,1000,10,2.3484532799921,False
kmip,5000,1000,1,62.87430837602005,False
kmip,100,1000,100,12.24524342600489,False
kmip,10000,1000,100,2.2878892250009812,False
rest,100,1000,,19.031302436982514,False
kmip,100,1000,10,12.605268206010805,False
kmip,20000,1000,1,62.75626764798653,False
rest,5000,1000,,8.439262618980138,False
kmip,100,1000,1,57.18737059200066,False
grpc,5000,1000,,1.1190088390139863,False
kmip,1000,1000,1,62.884899636992486,False
grpc,5000,1000,,1.032133844011696,False
kmip,20000,1000,10,2.4762178039818536,False
rest,20000,1000,,8.445797598018544,False
kmip,10000,1000,100,2.434304775990313,False
rest,1000,1000,,9.294522124982905,False
kmip,20000,1000,1,62.84250145801343,False
kmip,1000,1000,100,3.2192053190083243,False
grpc,20000,1000,,0.8220607329858467,False
kmip,5000,1000,10,2.4802121309912764,False
kmip,10000,1000,10,2.365535356977489,False
kmip,1000,1000,10,3.2596156820072792,False
kmip,10000,1000,1,62.93593263201183,False
kmip,100,1000,1,58.432264373026555,False
grpc,100,1000,,11.0946979750006,False
kmip,100,1000,100,12.219086666009389,False
kmip,100,1000,10,12.595617922983365,False
kmip,5000,1000,1,62.86256009998033,False
kmip,5000,1000,100,2.4993499440024607,False
rest,10000,1000,,8.362972158007324,False
grpc,1000,1000,,2.032367587002227,False
kmip,20000,1000,100,2.29983752197586,False
grpc,10000,1000,,0.8761421789822634,False
rest,100,1000,,19.013645418017404,False
rest,5000,1000,,8.862432564987103,False
kmip,1000,1000,1,62.778575920994626,False
grpc,5000,1000,,1.0224248119920958,False
kmip,20000,1000,100,2.3901480869972147,False
kmip,20000,1000,10,2.465118482010439,False
grpc,1000,1000,,1.8955238669877872,False
rest,5000,1000,,8.17218072997639,False
kmip,1000,1000,100,3.2891875309869647,False
kmip,5000,1000,1,62.91333036101423,False
grpc,20000,1000,,0.8462304360000417,False
rest,20000,1000,,8.067474590992788,False
rest,10000,1000,,7.9186531429877505,False
kmip,10000,1000,100,2.35180523400777,False
grpc,10000,1000,,0.8888551080017351,False
kmip,10000,1000,1,62.67234056600137,False
kmip,5000,1000,100,2.547147902980214,False
kmip,1000,1000,1,62.66745192499366,False
kmip,10000,1000,10,2.429807267006254,False
grpc,100,1000,,11.080776730988873,False
rest,1000,1000,,8.979207657976076,False
kmip,5000,1000,10,2.455667202011682,False
kmip,100,1000,10,12.624007151986007,False
kmip,20000,1000,1,63.11332674798905,False
rest,100,1000,,18.409369697998045,False
kmip,100,1000,1,59.389262771001086,False
kmip,1000,1000,10,3.3132125199772418,False
kmip,100,1000,100,12.222602235007798,False
